trv_loc_nm,yw,bubble_cnt
울산광역시,201947,2
세종특별자치시,201947,1
경기도,201947,18
강원도,201947,13
충청북도,201947,8
충청남도,201947,11
전라북도,201947,8
전라남도,201947,10
경상북도,201947,13
경상남도,201947,11
제주특별자치도,201947,5
서울특별시,201948,15
부산광역시,201948,8
대구광역시,201948,6
인천광역시,201948,11
광주광역시,201948,4
대전광역시,201948,5
울산광역시,201948,2
세종특별자치시,201948,1
경기도,201948,18
강원도,201948,13
충청북도,201948,7
충청남도,201948,10
전라북도,201948,8
전라남도,201948,9
경상북도,201948,12
경상남도,201948,10
제주특별자치도,201948,5
서울특별시,201949,13
부산광역시,201949,7
대구광역시,201949,5
인천광역시,201949,9
광주광역시,201949,3
대전광역시,201949,4
울산광역시,201949,2
세종특별자치시,201949,1
경기도,201949,16
강원도,201949,12
충청북도,201949,6
충청남도,201949,8
전라북도,201949,6
전라남도,201949,8
경상북도,201949,10
경상남도,201949,10
제주특별자치도,201949,5
서울특별시,201950,16
부산광역시,201950,8
대구광역시,201950,6
인천광역시,201950,11
광주광역시,201950,4
대전광역시,201950,5
울산광역시,201950,2
세종특별자치시,201950,1
경기도,201950,18
강원도,201950,14
충청북도,201950,7
충청남도,201950,9
전라북도,201950,7
전라남도,201950,9
경상북도,201950,11
경상남도,201950,10
제주특별자치도,201950,5
서울특별시,201951,17
부산광역시,201951,9
대구광역시,201951,6
인천광역시,201951,12
광주광역시,201951,4
대전광역시,201951,5
울산광역시,201951,2
세종특별자치시,201951,1
경기도,201951,19
강원도,201951,15
충청북도,201951,7
충청남도,201951,9
전라북도,201951,7
전라남도,201951,9
경상북도,201951,12
경상남도,201951,10
제주특별자치도,201951,5
서울특별시,201952,17
부산광역시,201952,10
대구광역시,201952,6
인천광역시,201952,13
광주광역시,201952,4
대전광역시,201952,4
울산광역시,201952,2
세종특별자치시,201952,1
경기도,201952,20
강원도,201952,19
충청북도,201952,7
충청남도,201952,10
전라북도,201952,8
전라남도,201952,10
경상북도,201952,13
경상남도,201952,11
제주특별자치도,201952,6
서울특별시,202001,15
부산광역시,202001,10
대구광역시,202001,6
인천광역시,202001,13
